699;Primera Normal Rio Grande  Kilos 20;1;1
700;Racimo Banano Enmepado;1;1
701;FAIR TRADE 12 KG-SM;0.66;6
703;Organico Bag Naked;1;1
704;FAIR TRADE 13 KG-Ur;0.72;6
705;PR BANANEC MEDIT EURO kilos 20;1;1
706;PR BANANEC MEDIT PAL kilos 20;1;1
707;Faitrade 3lb bag USA;1;6
708;FAIR TRADE BAG 13 KLS;0.72;6
709;Blanc Bag Turbana SM;1;1
710;FLO FT 12 BAG 15 KLS;0.83;6
711;FLO FT 12 BAG 15 KLS SM;0.83;6
712;Primera Normal Dolphin HD Kilos 20;1;1
716;Pr Fyffe PEV-Euro-45;1;1
717;Primera Normal Tropy Darién Kilos 20;1;1
719;FLO FT 20BAG MORRISONS;1;6
720;Cluster Bag Turbana Bag 3Lbs Kilos 20;1;1
721;Del Monte PB EU DM-Cover BVC;1;1
722;Costco Tb-Bag 3 Lbs;1;1
723;FairTrade Pinted Bag 13kg;0.72;6
724;FLO FT 24BAG MORRISONS;1;6
725;Cluster Bag Fyffes 3 lbs Bag Kilos 20;1;1
726;Primera Normal Dole Premio Banavac Kilos 20;1;1
727;Tropy Premio;1;1
728;Elaborado Mercado Nacional Largo Uniban;1;1
729;Elaborado Dedo Suelto 25 kls;1;1
730;Rech 20 kls Mdo Nal;1;1
731;Rech 13 kls Mdo Nal;0.71;1
732;Pr Dole Mediterraneo Pallet;1;1
733;Pr Dole Med. Granel;1;1
734;Turbana 4 Lbs;1;1
735;Cluster Bag 1B Cluster Bag Kilos 15;0.84;1
736;Anita Spot Comaco;1;1
738;Pr PLOP Bag SM-48;1;1
739;Bumper Pack;0.74;1
740;Cluster Bag Dole Extra SF-95 Banavac Kilos;1;1
741;Dole Cabanita Banavac Kilos;1;1
742;Pr Don Mario Kilos;1;1
743;Cluster Bag Morrisons Bumper Pack Kilos 13;0.71;1
744;Primera Normal Premium Loblaw Kilos 20;1;1
746;Primera Normal Premium Tropy HD Kilos 20;1;1
747;Morrison 16 Mor8;1;1
749;Primera Normal Dole Bajella Banavac  Kilos 20;1;1
750;Pr Tropical Eden -48;1;1
767;FT 14 kls- 75 Dedos;0.77;6
771;Cluster Bag 1B-Asda garden 15CB8 kilos 15;0.79;1
780;mi casa;1;1
781;Bahia Spot Comaco Europallet 20k Banav;1;1
783;Pr Turbana Colombia;1;1
794;FT 13 kls 16cb7 Bag;0.71;6
799;JS Fair Trade EU-50;0.94;1
811;Premium Turbana New logo 48 Kilos 20;1;1
817;Dedo Suelto Corto;1;1
820;Premium Unifruit Kraft 20 Klos;1;1
823;Primera Tropy Kraft;1;1
834;FT-WAITROSE 17;0.94;6
839;Fairtrade 3 lb Bag USA;1;6
840;Primera B Fyffes 12.7 Kl 60 13 Kls Clusterg;0.72;1
844;Fair Trade 18 kl;1;6
845;FLO FT EUROPEA 18.14 KG - FTMH18;1;6
851;PRIMERA TROPY MEDITERRANEO PACIFIC;1;1
853;FLO TROPY HD;1;6
862;Del Monte  Francia PB EU DM-Cover BVC;1;1
863;FLO FT EUROPA 18.14 KG - FT18;1;6
865;FT Small 13 Kg;0.71;6
868;Segunda Happy Bananas;1;2
878;FT 13 BAG 16.5 K;0.91;6
880;Dole premium;1;1
882;Primera Dole Bajella Polypack 20 Klos;1;1
883;Premio Bajella POLYPACK;1;1
887;Del Monte  Portugal PB EU DM-Cover BVC;1;1
897;FT EUROPA 18.14 KLOS FTNS;1;6
906;Primera Asda 17 Klos;0.94;1
913;Pr AS17 NEW;0.95;1
918;FT PRIMERA ST FIRE 3 LIBRAS BAG;1;6
919;FT PRIMERA WHOLE FOODS;1;6
930;PRIMERA TROPY HD KRAFT;1;1
934;Pr Bahia HDsin sello;1;1
935;Pr Simba Bananas;1;1
942;PRIMERA SLOBANA PREMIUM HD;1;1
945;Pr Fyffes STD - HD;1;1
946;Pr Fyffes MED 18.14;1;1
947;SELECT PEV FYFFES 18K;1;1
950;FT WALTROSE  17;0.94;6
956;PR CONAD;1;1
960;FT 14 CB 6 EU-60 BAG;0.78;6
967;FT FAIRTRADE FTFY18 20 Klos;1;6
970;PR SUPREME MEDIT EUR (BANAFRUT) ;1;1
985;FT DOCE KILOS;0.66;6
991;FT TEFTB 15 EU-50 17 KL BAG;0.94;6
999;JS FAIR TRADE 17K E;0.94;1
1010;PR TURBANA 3 LBS BAN;1;1
1014;FLO FAIR TRADE EU***;1;6
1015;FT JS FAIR TRADE 17K;0.94;6
1017;FT FLO FAIR TRADE EU;1;6
1019;FT TESCO 17 KG EU**;0.94;6
1021;FT TESCO 17 KG CLUSTER BAG;0.94;6
1025;FT FAIR T 3LB EEUU;1;6
1028;FAIR TRADE TROPY DED;1;6
1036;PRIMERA BANANAS;1;1
1041;PIMERA MIX SIMBA BANANAS;1;1
1043;PR BAHIA HD SIN SELLO  54;1;1
1044;MIX SIMBA BANANAS 5;1;1
1046;PREMIUM TROPY HD 54;1;1
1047;PREMIUM ADRIA BANANA ;1;1
1048;SEGUNDA DARIEN BVC 54 (segunda);1;2
1051;Menor Especificacion  - BANANAS X 54;1;2
1054;PR DM EUROMINI 17KG;0.94;1
1056;PR 14 KL EU 75 DEDOS;0.77;1
1059;PR LD17 TRIAL 2;0.94;1
1073;PR SUPREME BANANAS;1;1
1075;PR LD17 AL 55;0.94;1
1078;ME FREDY F BAG 13 KG ;0.74;1
1079;ME FYFFES 12.7 KGS (Segunda).;0.7;1
1080;ME ALDI BAG 1B 13 KGS.;0.74;1
1081;SEGUNDA FT SMALL 12.7 KG EU*;0.7;6
1085;PR FRUTIA BANANAS;1;1
1089;PR TROPY MEDITERRAN;1;1
1106;SEGUNDA DARIEN BVC 54;1;2
1107;Menor Especificacion - BANANAS AL 54;1;2
1114;PR  LD17RA  KGS.;0.94;1
1120;PR FYFFES STDW 54;1;1
1124;DARIEN 54 RAINFORES;1;2
1125;PR TURBANA 3 LBS BA;1;1
1126;PR FYFFES USA.;1;1
1129;PR FYFFES MED 54;1;1
1133;PR MOR5STD - 54;0.92;1
1137;PR CHIQUITA BANAVAC;1;1
1138;DARIEN BVC RAINFORE;1;2
1140;SEGUNDA CUMBIA BANANAS 54;1;2
1141;SEGUNDA CUMBIA HD BANANAS 4;1;2
1142;SEGUNDA CUMBIA HD BANANAS 5;1;2
1143;SEGUNDA ME HAPPY BANANAS BV;1;2
1148;SEGUNDA ME SLOBANA;1;2
1149;STDRA;1;1
1153;PR DERBY - 48;0.77;1
1154;MIX DARIEN BANANA;1;1
1155;PR SUPREME SARL;1;1
1163;PR SUPREME MEDITERR;1;1
1165;PR DERBY BANANAS 48;1;1
1166;ME ALDI BAG 13 KGS.;0.74;1
1168;PRIMERA MIX TROPY RA;1;1
1171;PR FYFFES STDHD RAI;1;1
1189;FT JS FAIR TRADE 17;0.94;6
1191;PR FYFFES SRDHD 18.14 K;1;1
1192;PR FYFFES FYFMED 18.14 K;1;1
1193;PR FYFFES STDHDRA 18.14 K. RAIN;1;1
1198;PR CLUSTER BAG FYFF;1;1
1200;ME ALDI BAG RA 13 K;0.74;1
1202;SEGUNDA ME ALDI BAG RA 13 K;0.74;2
1209;FT MHFT17 - EU-55;0.94;6
1214;PR MOR5STDRA - 54;0.92;1
1215;ME FYFFES 12.7 KGS.;0.7;1
1216;PR MSTDRA - 54;1;1
1219;PR FYFFES 3 LBS BAN;1;1
1223;PR YELLOW RAINFORES;1;1
1224;PR YELLOW RAINFORES ;1;1
1225;PR PAMELA BANANAS;1;1
1231;FT TROPY EU - 48;1;1
1233;PR FYFFES STDWR 54;1;1
1243;DARIEN BVC 54*;1;2
1253;PR ALDI RAINFOREST;0.94;1
1255;MIX TROPY RAINFORES 17 KLOS;0.94;1
1259;PR CHIQUITA RAC BANAVAC 54 REF ;1;1
1271;FT FT22X5 EU*;1;6
1278;MENOR ESPECIFICACION FYFFES 13 KL CLUSTER BAG;0.7;1
1285;PR DERBY BANANAS RA;1;1
1287;PR ORSERO EUROMINI 17 KGS;0.95;1
1290;FT PLUSFT5;1;1
1292;PR YELLOW RAINFOREST MOTTED;1;1
1298;FT JSFTIF17-55EU;0.94;1
1303;Menor Especificacion DEDO SUELTO 10 LBS.;0.25;2
1313;FT - MHFTF517 - 55 EU;0.94;1
1316;FT - DELMONTE - 54 EU;1;1
1320;Segunda BANAKING BVC - 54;1;1
1324;PR GOODFARMER 4 HANDS 13.5 K;0.74;1
1327;PR GOODFARMER 6 HANDS 13.5 K;0.74;1
1329;FT TROPY 17 KGS - 55 EU;0.94;1
1336;PR Bananas Kraft sin sello - 5;1;1
1339;Menor Especificacion ME BANANEN EVERY DAY;1;2
1341;Menor Especificacion - BANANAS 5 DEDOS;1;2
1342;Menor Especificacion ME SIMBARICA 6 DEDO;1;2
1345;PR BAHIA HD RAINFOREST;1;1
1351;Menor Especificacion YUMMYBAN UCRANIA BANANAS 54;1;2
1353;FT JS - FAIR TRADE 17K EU - 55;0.94;1
1354;FT JSFTX5 17 K EU -55;0.94;1
1355;FT JS FAIR TRADE 17K JSFTB13K;0.94;1
1359;Menor Especificacion - YUMMYBAN UCRANIA BA;1;2
1356;MHFT17-EU-55;0.94;1
1361;Menor Espicificacion - YUMMYBAN UCRANIA BANANAS 54;1;2
7200;Del Monte PB-EU DM-COVER PP;1;1
7210;Del Monte PB-EU DM-COVER B.BULK PP;1;1
7215;Del Monte PB-EU DM-COVER B.BULK BVC;1;1
7220;Del Monte EUROBOX-EU EEPB6 B.BULK;1;1
7225;Del Monte EUROBOX-EU EEPB6;1;1
7230;Del Monte PB-UK DM-COVER BVC;1;1
7235;Del Monte Premium Euromini;1;1
7240;Del Monte PB-DM-COVER BVC B.BULK;1;1
7245;Del Monte PB-EU DM-COVER BVC;1;1
7270;UTC PB-EU DM-COVER BVC;1;1
7275;UTC PB-EU DM-COVER PP;1;1
7280;UTC PB-EU DM-COVER B.BULK PP;1;1
7285;UTC Europeo Granel BVC;1;1
7300;Del Monte Premium Italiano;1;1
7330;UTC Italiano DM-Cover;1;1
8100; 5 A day USA;1;1
8118;Primera Normal Dole Extra SF-95 polypack Kilos 20;1;1
8123;Cluster Bag Dole BARE Cluster Bag Kilos 20;1;1
8124;Segunda Normal Dole Bajella polypack Kilos 20;1;2
8125;Primera Normal Dole first price Kilos 20;1;1
8127;Primera Normal Dole first price Kilos 21;1;1
8136;Primera Normal Dole Cabanita Polypack Kilos 20;1;1
9100;DM USA;1;1
9110;Rosy;1;1
9120;3 Lbs Bag;1;1
9135;U.T.C;1;1
9200;DM 27 BD Pallet Polypack;1;1
9210;DM GRANEL;1;1
9220;EUROBOX;1;1
9225;DM EUBOX-EU-EEPB-6;1;1
9230;DM PALLET;1;1
9245;DM PALLET BVC;1;1
9260;Rosy Pallet BVC;1;1
9270;U.T.C PALLET BVC;1;1
9275;U.T.C PALLET POLY P.;1;1
9280;U.T.C GRANEL;1;1
9300;DM Italiano;1;1
9330;UTC Mediterraneo Bvc Pallet;1;1
