96;FRUTA PREMIUN BANANAS KOREANO;1
97;FRUTA MERCADO NACIONAL ESPECIAL;1
98;FRUTA PREMIUN FRUTICA;1
99;FRUTA CATEGORIA II FRUTICA;1
200;CLUSTER BAG DEDO SUELTO LARGO KILOS 20;1
354;PRIMERA NORMAL TROPICAL  EDEN EUROBOX KILOS 20;1
376;PREMIUM BANANAS EN BAG PALLET EUROPA URA;1
392;MENOR ESPECIFICACION CLUSTER BAG QUAD PACK KILOS 20;1
426;TROPICAL EDEN EUROBOX 80*120;1
474;SELECT SUN SWEET;1
489;PREMIUM TURBANA ECUADOR;1
494;PRIMERA NORMAL IRANI ESTRELLA KILOS 20;0.71
511;13 KLS MANOS TURBANA KILOS;0.71
512;PRIMERA NORMAL FYFFES EUROBOX KILOS 20;1
519;SEVEN BBANANAS PACK;1
528;PR FYFF EUBOX 20 K45;1
534;PRIMERA NORMAL TURBANA PALLET KILOS 20;1
538;PRIMERA NORMAL FYFFES 20 KILOS KILOS 20;1
540;PRIMERA NORMAL BLANCOS BAG KILOS 20;1
542;FREDY FYFFES 20 KL BAG KILOS;1
545;PRIMERA NORMAL FYFFES CL B 48 KILOS 20;1
550;PR TURBANA EUROPA 18.14 KG - 48;1
552;1B FREDY FYFFES BAG 22 18.14 KG - 48 SM;1
553;PR FYFFES STD 18.14 KG -48 SM;1
554;SEVEN BANANAS PACK;1
559;CLUSTERT BAG 12X1 KG EXPOCARIBE;0.71
562;PRIMERA NORMAL IRANI FRUTTIA KILOS 20;0.71
568;DOLE USA;1
574;FLO FT EUROPA 18.14 KG - FT;1
575;DARIEN KILOS;1
584;PRIMERA NORMAL STOP AND SHOP KILOS 20;1
587;PRIMERA NORMAL BONI BAG KILOS 20;1
589;PRIMERA NORMAL DON CARLOS KILOS 20;1
595;13 KLS MANO ENTER EXPOCA-56;0.71
601;SEVEN BANANAS BLANCO BAG -48;1
603;1B 7-BANANAS BLANCO BAG 22 18.14 KG SM -48;1
604;CLUSTER BAG DOLPHIN BAG KILOS 20;1
608;PR TURBANA;1
609;PRIMERA CLUSTER BAG KILOS 20;1
610;PRIMERA NORMAL FIVE A DAY PREMIUM KILOS 20;1
611;PRIMERA NORMAL PRICE CHOPPER KILOS 20;1
612;KORA KILOS;1
613;PRIMERA NORMAL PREMIUM TROPY KILOS 20;1
614;SEGUNDA DARIEN 3 LIBRAS KILOS 17;1
617;PRIMERA NORMAL WEISS PREMIUM KILOS 20;1
618;PRIMERA NORMAL UNIFRUIT KILOS 20;1
619;PRIMERA NORMAL TURBANA SPOT KILOS 20;1
620;PRIMERA NORMAL GIOIA KILOS 20;1
621;PRIMERA NORMAL COMACO KILOS 20;1
624;PRIMERA DOLE USA  KILOS 20;1
625;PRIMERA NORMAL SHURFINE PREMIUM KILOS 20;1
626;PREMIUM FAIR TRADE USA;1
627;CLUSTER BAG FREDY FYFFES 13 KL BAG KILOS 13;0.74
629;PRIMERA NORMAL FAIR TRADE BAG KILOS 20;1
630;PRIMERA NORMAL ANITA PREMIUM KILOS 20;1
631;1B FREDY FYFFES BAG 16 13 KG SM - 60;0.71
637;PRIMERA NORMAL FYFFES EUROBOX CHEP KILOS 20;1
638;PRIMERA NORMAL DOLE PREMIO POLYPAC KILOS 20;1
642;CLUSTER BAG FYFFES 13 KLS CLUSTER KILOS 13;0.71
645;PRIMERA NORMAL FYFFES BAG BLANK KILOS 20;1
649;DECO BAG KILOS;1
650;FREDDY FYFFES USA;1
654;CLUSTER BAG DEDO SUELTO CORTO KILOS;1
655;NATURAL TASTY INV. KILOS;1
656;PRIMERA NORMAL PREMIUM HOYA EUROBOX KILOS 20;1
657;PR FYFFES 12.7K -60 SM;0.71
658;PR FYFFE BAG BLANCO 18.14K SM - 48;1
660;PR BONI BAG 18.14K SM-48;1
661;PR FYFFES PRINTED BAG SM-48;1
663;FYFFES SMOLL BAG KILOS;0.71
665;TURBANA 5 LIBRAS KILOS 20;0.14
667;PRIMERA NORMAL DELMONTE ITALIANO KILOS 21;1
668;PR BANASUN;1
669;PRIMERA NORMAL DISNEY PREMIUM KILOS 20;1
670;PR HOYA 12.7 KG SM -60;0.71
673;PRIMERA NORMAL PREMIUM HOYA ESTÁNDAR KILOS 20;1
674;FYFFES HD  KILOS;1
675;JS FAIR TRADE 17 KG EU-50;0.94
676;SAINSBURY EUROPA KILOS;0.94
678;FYFFES 13KL C BAG UK KILOS;0.72
679;PRIMERA NORMAL TURBANA PRMIUN KILOS 20;1
681;PR ASDA CHEP 17 K;0.94
682;PRIMERA NORMAL PR TURBANA HD KILOS 20;1
683;PRIMERA NORMAL FYFFES HD  KILOS 20;1
685;CLUSTER BAG JUNIOR DISNEY KILOS 20;1
686;PRIMERA NORMAL  DIAMANTE HD KILOS 20;1
687;CHIQUITA BANAVACK EUROPALLET;1
688;CLUSTER BAG DISNEY PREMIUN BAG KILOS 20;1
689;PRIMERA NORMAL FRUIT DU MONDE KILOS 20;1
690;PRIMERA NORMAL ASDA  KILOS 17;0.95
691;JS FAIRTRADE 17K SM - 55;0.94
692;CLUSTER BAG BLANCO 7 18.14 KGS KILOS 20;1
693;PRIMERA NORMAL TURBANA BANA FRESH KILOS 20;1
694;PRIMERA MED STDHD NORMAL FYFFES KILOS 20 SIN SELLO;1
695;PR TURBANA HANDS 13K SM - 56;0.71
696;CLUSTER BAG COOP 7 KILOS 13;0.74
698;PRFYFFES STD 18.14 K ALTA VENTILACIÓN;1
699;PRIMERA NORMAL RIO GRANDE  KILOS 20;1
700;RACIMO BANANO ENMEPADO;1
701;FAIR TRADE 12 KG-SM;0.66
702;FLO FT EUROPA 18.14 KG - FT -;1
703;ORGANICO BAG NAKED;1
704;FAIR TRADE 13 KG-UR;0.72
705;PR BANANEC MEDIT EURO KILOS 20;1
706;PR BANANEC MEDIT PAL KILOS 20;1
707;FAITRADE 3LB BAG USA;1
708;FAIR TRADE BAG 13 KLS;0.72
709;BLANC BAG TURBANA SM;1
710;FLO FT 12 BAG 15 KLS;0.83
711;FLO FT 12 BAG 15 KLS SM;0.83
712;PRIMERA NORMAL DOLPHIN HD KILOS 20;1
713;SEGUNDA DARIEN ESTÁNDAR KILOS 20;1
714;PRIMERA NORMAL TURBANA PREMIUM KILOS 20;1
716;PR FYFFE PEV-EURO-45;1
717;PRIMERA NORMAL TROPY DARIÉN KILOS 20;1
719;FLO FT 20BAG MORRISONS;1
720;CLUSTER BAG TURBANA BAG 3LBS KILOS 20;1
721;DEL MONTE PB EU DM-COVER BVC;1
722;COSTCO TB-BAG 3 LBS;1
723;FAIRTRADE PINTED BAG 13KG;0.72
724;FLO FT 24BAG MORRISONS;1
725;CLUSTER BAG FYFFES 3 LBS BAG KILOS 20;1
726;PRIMERA NORMAL DOLE PREMIO BANAVAC KILOS 20;1
727;TROPY PREMIO;1
728;ELABORADO MERCADO NACIONAL LARGO UNIBAN;1
729;ELABORADO DEDO SUELTO 25 KLS;1
730;RECH 20 KLS MDO NAL;1
731;RECH 13 KLS MDO NAL;0.71
732;PR DOLE MEDITERRANEO PALLET;1
733;PR DOLE MED. GRANEL;1
734;TURBANA 4 LBS;1
735;CLUSTER BAG 1B CLUSTER BAG KILOS 15;0.84
736;ANITA SPOT COMACO;1
737;PRIMERA NORMAL FYFFES EUROBOX KILOS 20 - ;1
738;PR PLOP BAG SM-48;1
739;BUMPER PACK;0.74
740;CLUSTER BAG DOLE EXTRA SF-95 BANAVAC KILOS;1
741;DOLE CABANITA BANAVAC KILOS;1
742;PR DON MARIO KILOS;1
743;CLUSTER BAG MORRISONS BUMPER PACK KILOS 13;0.71
744;PRIMERA NORMAL PREMIUM LOBLAW KILOS 20;1
745;FT WHOLE FOODS;1
746;PRIMERA NORMAL PREMIUM TROPY HD KILOS 20;1
747;MORRISON 16 MOR8;1
748;FLO FT 13 BAG 16.5 K;0.91
749;PRIMERA NORMAL DOLE BAJELLA BANAVAC  KILOS 20;1
750;PR TROPICAL EDEN -48;1
767;FT 14 KLS- 75 DEDOS;0.77
771;CLUSTER BAG 1B-ASDA GARDEN 15CB8 KILOS 15;0.79
780;MI CASA;1
781;BAHIA SPOT COMACO EUROPALLET 20K BANAV;1
783;PR TURBANA COLOMBIA;1
794;FT 13 KLS 16CB7 BAG;0.71
799;JS FAIR TRADE EU-50;0.94
811;PREMIUM TURBANA NEW LOGO 48 KILOS 20;1
817;DEDO SUELTO CORTO;1
818;FT WHOLE FOODS -;1
820;PREMIUM UNIFRUIT KRAFT 20 KLOS;1
823;PRIMERA TROPY KRAFT;1
833;FLO FT 13 BAG 16.5 K -;0.91
834;FT-WAITROSE 17;0.94
839;FAIRTRADE 3 LB BAG USA;1
840;PRIMERA B FYFFES 12.7 KL 60 13 KLS CLUSTERG;0.72
844;FAIR TRADE 18 KL;1
845;FLO FT EUROPEA 18.14 KG - FTMH18;1
847;PR SUPREME MEDIT EUR;1
851;PRIMERA TROPY MEDITERRANEO PACIFIC;1
853;FLO TROPY HD;1
862;DEL MONTE  FRANCIA PB EU DM-COVER BVC;1
863;FLO FT EUROPA 18.14 KG - FT18;1
865;FT SMALL 13 KG;0.71
868;SEGUNDA HAPPY BANANAS;1
877;FTJS FAIR T17K EU-50;0.94
878;FT 13 BAG 16.5 K;0.91
880;DOLE PREMIUM;1
882;PRIMERA DOLE BAJELLA POLYPACK 20 KLOS;1
883;PREMIO BAJELLA POLYPACK;1
887;DEL MONTE  PORTUGAL PB EU DM-COVER BVC;1
888;SELEC ORSERO BANANAS;1
889;SELEC ORSERO BANANAS -;1
891;FT PRIMERA WAITROSD 17 KILOS;0.94
897;FT EUROPA 18.14 KLOS FTNS;1
906;PRIMERA ASDA 17 KLOS;0.94
913;PR AS17 NEW;0.95
918;FT PRIMERA ST FIRE 3 LIBRAS BAG;1
919;FT PRIMERA WHOLE FOODS;1
930;PRIMERA TROPY HD KRAFT;1
934;PR BAHIA HDSIN SELLO;1
935;PR SIMBA BANANAS;1
942;PRIMERA SLOBANA PREMIUM HD;1
945;PR FYFFES STD - HD;1
946;PR FYFFES MED 18.14;1
950;FT WALTROSE  17;0.94
956;PR CONAD;1
960;FT 14 CB 6 EU-60 BAG;0.78
967;FT FAIRTRADE FTFY18 20 KLOS;1
970;PR SUPREME MEDIT EUR (BANAFRUT) ;1
972;FTJS FAIR T17K EU-50 -;0.94
975;PR SUPREME MEDIT EUR -;1
983;FT PRIMERA WAITROSD 17 KILOS -;0.94
985;FT DOCE KILOS;0.66
991;FT TEFTB 15 EU-50 17 KL BAG;0.94
999;JS FAIR TRADE 17K E;0.94
1003;PR ORSERO BANANAS;1
1010;PR TURBANA 3 LBS BAN;1
1011;FT TESCO*;0.94
1014;FLO FAIR TRADE EU***;1
1015;FT JS FAIR TRADE 17K;0.94
1016;FT 14 KLS- 75 DEDOS*;0.77
1017;FT FLO FAIR TRADE EU;1
1019;FT TESCO 17 KG EU**;0.94
1020;FT SMALL 13 KG*;0.7
1021;FT TESCO 17 KG CLUSTER BAG;0.94
1025;FT FAIR T 3LB EEUU;1
1028;FAIR TRADE TROPY DED;1
1036;PRIMERA BANANAS;1
1041;PR MIX SIMBA BANANAS;1
1044;MIX SIMBA BANANAS 5;1
1046;PREMIUM TROPY HD 54;1
1047;PREMIUM ADRIA BANANA ;1
1048;DARIEN 54 RAINFORES;1
1051;BANANAS X 54;1
1054;PR DM EUROMINI 17KG;0.94
1056;PR 14 KL EU 75 DEDOS;0.77
1059;PR LD17 TRIAL 2;0.94
1062;FT JSFTX5 17 K EU ;0.94
1073;PR SUPREME BANANAS;1
1075;PR LD17 AL 55;0.94
1078;ME FREDY F BAG 13 KG ;0.74
1079;ME FYFFES 12.7 KGS (SEGUNDA).;0.7
1080;ME ALDI BAG 1B 13 KGS.;0.74
1081;SEGUNDA FT SMALL 12.7 KG EU*;0.7
1085;PR FRUTIA BANANAS;1
1089;PR TROPY MEDITERRAN;1
1103;PR DERBY BANANAS;1
1106;DARIEN BVC 54;1
1107;BANANAS AL 54;1
1108;PR TURBANA RAINFORE;1
1120;PR FYFFES STDW 54;1
1124;DARIEN 54 RAINFORES -;1
1125;PR TURBANA 3 LBS BA;1
1126;PR FYFFES USA;1
1133;PR MOR5STD - 54;0.92
1137;PR CHIQUITA BANAVAC;1
1140;SEGUNDA CUMBIA BANANAS 54;1
1141;SEGUNDA CUMBIA HD BANANAS 4;1
1142;CUMBIA HD BANANAS 5;1
1143;ME HAPPY BANANAS BV (SEGUNDA);1
1148;ME SLOBANA;1
1149;STDRA;1
1153;PR DERBY - 48;0.77
1154;MIX DARIEN BANANA;1
1155;PR SUPREME SARL;1
1165;DERBY BANANAS;1
1168;MIX TROPY RA;1
1170;PR TURBANA RAINFOREST;1
1189;FT JS FAIR TRADE 17;0.94
1191;PR FYFFES STDHD 18;1
1192;PF FYFFES FYFME 18 -;1
1193;PR FYFFES STDHDRA 1;1
1194;PR CHIQUITA RAC BAN;1
1195;MIX ORSERO 42.5 LBS;1
1202;ME ALDI BAG RA 13 K;0.74
1209;FT MHFT17 - EU-55;0.94
1216;PR MSTDRA - 54;1
1219;PR FYFFES 3 LBS BAN ;1
1224;PR YELLOW RAINFOREST;1
1225;PR PAMELA BANANAS;1
1231;FT TROPY EU - 48;1
1233;PR FYFFES STDWR 54;1
1239;DARIEN BVC 20 KLOS;1
1242;DARIEN BAG (SEGUNDA);1
1243;SEGUNDA DARIEN ESTÁNDAR KILOS 20 -;1
1253;PR ALDI RAINFOREST;0.94
1255;MIX TROPY RAINFORES;0.94
1259;PR CHIQUITA RAC BAN -;1
1268;PR CHIQUITA RAC BAN --;1
1271;FT FT22X5 EU*;1
1278;FYFFES 13 KL CLUSTER BAG;0.7
1285;PR DERBY BANANAS RA;1
1290;FT PLUSFT5 - 54 EU;1
1292;PR YELLOW RAINFORES  MOTTED;1
1298;FT JSFTIF17 - 55 EU ;0.94
1330;FT JSFTIF17 - 50 EU ;0.94
1303;MENOR ESPECIFICACION DEDO QUAD PACK 10 LIBRAS;0.25
1304;PR ORSERO BANANAS*;1
1313;PR MHFTFS17;0.94
1316;FT DELMONTE 20 KILOS;1
1320;BANAKING BVC - 54;1
1321;FT TROPY AL 48;1
1324;PR GOODFARMER 4 HAN ;0.74
1327;PR GOODFARMER 6 HAN ;0.74
1328;PR GOODFARMER 5 HAN ;0.74
1329;FT TROPY 17 KILOS;0.94
1341;BANANAS 5 DEDOS;1
1339;ME BANANEN EVERYDAY;1
1353;FT JS FAIR TRADE 17 KL;0.94
1354;FT JSFTX5 17 K EU -;0.94
1355;FT JS FAIR TRADE 17 KL -;0.94
1356;FT MHFT17 - EU-55 -;0.94
1357;FT DELMONTES 17 KGS;0.94
1359;YUMMYBAN UCRANIA BANANAS *54;1
1361;YUMMYBAN UCRANIA BANANAS *54 -;1
1366;FT SINGLE TRIAL -EU;0.25
7200;DEL MONTE PB-EU DM-COVER PP;1
7210;DEL MONTE PB-EU DM-COVER B.BULK PP;1
7215;DEL MONTE PB-EU DM-COVER B.BULK BVC;1
7220;DEL MONTE EUROBOX-EU EEPB6 B.BULK;1
7225;DEL MONTE EUROBOX-EU EEPB6;1
7230;DEL MONTE PB-UK DM-COVER BVC;1
7235;DEL MONTE PREMIUM EUROMINI;1
7240;DEL MONTE PB-DM-COVER BVC B.BULK;1
7245;DEL MONTE PB-EU DM-COVER BVC;1
7270;UTC PB-EU DM-COVER BVC;1
7275;UTC PB-EU DM-COVER PP;1
7280;UTC PB-EU DM-COVER B.BULK PP;1
7285;UTC EUROPEO GRANEL BVC;1
7300;DEL MONTE PREMIUM ITALIANO;1
7330;UTC ITALIANO DM-COVER;1
8100;5 A DAY USA;1
8118;PRIMERA NORMAL DOLE EXTRA SF-95 POLYPACK KILOS 20;1
8123;CLUSTER BAG DOLE BARE CLUSTER BAG KILOS 20;1
8124;SEGUNDA NORMAL DOLE BAJELLA POLYPACK KILOS 20;1
8125;PRIMERA NORMAL DOLE FIRST PRICE KILOS 20;1
8127;PRIMERA NORMAL DOLE FIRST PRICE KILOS 21;1
8136;PRIMERA NORMAL DOLE CABANITA POLYPACK KILOS 20;1
9100;DM USA;1
9110;ROSY;1
9120;3 LBS BAG;1
9135;U.T.C;1
9200;DM 27 BD PALLET POLYPACK;1
9210;DM GRANEL;1
9220;EUROBOX;1
9225;DM EUBOX-EU-EEPB-6;1
9230;DM PALLET;1
9245;DM PALLET BVC;1
9260;ROSY PALLET BVC;1
9270;U.T.C PALLET BVC;1
9275;U.T.C PALLET POLY P.;1
9280;U.T.C GRANEL;1
9300;DM ITALIANO;1
9330;UTC MEDITERRANEO BVC PALLET;1
